seed,solution_steps,packed_turns,split_turns,packed_environment_reward,split_environment_reward,environment_reward_delta,outcome_delta,bounded_process_delta,format_gate_delta
0,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
1,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
2,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
3,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
4,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
5,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
6,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
7,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
8,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
9,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
10,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
11,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
12,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
13,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
14,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
15,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
16,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
17,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
18,4,2,4,1.2000000000000002,1.4000000000000001,0.19999999999999996,0.0,0.0,0.0
19,5,2,5,1.2000000000000002,1.5,0.2999999999999998,0.0,0.0,0.0
